X,V1,V2,V3,V4,V5,V6,V7,V8,Crop,NDVI_sd,NDVI_kt,NDVI_sk,NDVI
1,0.080290001,0.068889998,0.05869,0.06374,0.103780001,0.00082,0.123819999,0.091669999,Soybeans,0.00758943,-0.652732371,0.199005066,0.238686651
2,0.076439999,0.063320003,0.058880001,0.043699998,0.208399996,0.00084,0.124920003,0.069940001,Corn,0.047885842,0.441504326,-0.213983435,0.656628847
3,0.074600004,0.061560001,0.054880001,0.044160001,0.188679993,0.00096,0.112520002,0.060260002,Soybeans,0.075923404,2.905491553,-1.653554893,0.619787633
4,0.075139999,0.063480001,0.053059999,0.05266,0.117970001,0.00088,0.124229997,0.082169998,Corn,0.063182131,-0.995496361,-0.037231563,0.380169079
5,0.080600001,0.069300003,0.059360001,0.064800002,0.105319999,0.00088,0.125300005,0.092040002,Soybeans,0.010108841,-0.441189874,0.433802533,0.237681821
6,0.079060003,0.06721,0.05738,0.05971,0.110309999,0.00084,0.123520002,0.091010001,Soybeans,0.038705715,-0.41315087,0.665408305,0.292965516
7,0.076049998,0.064489998,0.060420001,0.066860002,0.147199996,0.00088,0.12844,0.08388,Corn,0.028407441,-0.252157973,0.782214179,0.373236775
8,0.079879999,0.068719998,0.062579997,0.066820003,0.118320003,0.0009,0.126300007,0.094999999,Soybeans,0.019042733,0.615214056,0.839523012,0.277282
9,0.076580003,0.064839996,0.072439998,0.05954,0.185440004,0.0009,0.106859997,0.060740001,Soybeans,0.053905033,-0.546488731,0.249400051,0.511464238
10,0.07443,0.0601,0.05689,0.034739999,0.282779992,0.00096,0.131469995,0.062030001,Winter Wheat,0.055737485,1.86552845,-1.209119766,0.779113799
11,0.074900001,0.062339999,0.052999999,0.058139998,0.116400003,0.00094,0.121940002,0.084559999,Soybeans,0.034912969,-0.220676758,0.708966813,0.334276587
12,0.084109999,0.073410001,0.067249998,0.070020001,0.130989999,0.00096,0.156489998,0.12311,Winter Wheat,0.034472283,-0.15323685,0.426946229,0.294393703
13,0.074340001,0.061829999,0.050480001,0.045940001,0.141180001,0.00082,0.11372,0.069090001,Corn,0.075377921,2.544007159,-1.511768754,0.506406605
14,0.0748,0.061579999,0.053780001,0.043120001,0.217779994,0.001,0.123360001,0.065719999,Soybeans,0.232666722,-1.957630682,-0.079966372,0.669451892
15,0.0735,0.060279999,0.051879998,0.040460002,0.197819993,0.00086,0.109420002,0.056639999,Corn,0.100121774,-0.65316211,-0.67477442,0.660579085
16,0.081409998,0.07045,0.067910001,0.068130001,0.135370001,0.00084,0.135990001,0.100540001,Corn,0.025453954,-0.286634467,-0.483570888,0.328876898
17,0.07846,0.0671,0.05982,0.05837,0.147500001,0.00086,0.16849,0.10825,Winter Wheat,0.061712803,-1.11532613,0.062265084,0.42929852
18,0.075519998,0.064030003,0.054410001,0.05253,0.135520004,0.00083,0.123160001,0.076280002,Corn,0.074330866,-0.173912359,0.542489664,0.447107062
19,0.07638,0.065030001,0.060249999,0.056989999,0.120829999,0.00092,0.112539999,0.076730002,Corn,0.071186393,-0.903934178,0.364663856,0.385901779
20,0.07959,0.068470001,0.059049999,0.064629998,0.107300002,0.0008,0.131580003,0.097169999,Soybeans,0.012214633,4.729828623,1.528636536,0.248256445
21,0.074000001,0.060860001,0.061140001,0.04152,0.225620002,0.00092,0.104479998,0.047940001,Corn,0.039416645,0.66123131,-0.90301139,0.68974036
22,0.072719999,0.0592,0.055199999,0.038799999,0.210469998,0.00076,0.096000001,0.045090001,Corn,0.058137283,0.101578173,-0.926550679,0.689034939
23,0.074469998,0.060940001,0.05762,0.04026,0.190409996,0.00092,0.110999998,0.05814,Winter Wheat,0.180573211,-1.537309206,-0.577371234,0.651415646
24,0.074840002,0.061079999,0.054099999,0.03898,0.207079999,0.0009,0.137010001,0.071049999,Winter Wheat,0.11075268,-0.223189516,-0.718076134,0.676612347
25,0.080140002,0.06955,0.0603,0.066770002,0.117389999,0.00091,0.170169994,0.116330002,Corn,0.16001455,-0.183718308,1.285096085,0.263579547
26,0.078679997,0.067049999,0.05721,0.063559998,0.113930002,0.00092,0.126049995,0.08233,Winter Wheat,0.27555312,-1.46760097,0.700308894,0.264093518
27,0.080619998,0.069679998,0.060540002,0.066019997,0.102799997,0.00094,0.126320004,0.103739999,Corn,0.012590366,-0.803632282,0.098466809,0.211868718
28,0.081780002,0.0704,0.061519999,0.067699999,0.115960002,0.00092,0.150979996,0.113420002,Soybeans,0.016656138,6.477323635,1.711684706,0.260041863
29,0.072099999,0.058340002,0.053780001,0.037859999,0.206540003,0.00096,0.098760001,0.046020001,Corn,0.072912003,2.897508978,-1.544607529,0.692423761
30,0.071680002,0.057519998,0.052859999,0.03334,0.244609997,0.00076,0.09389,0.040129999,Corn,0.024281984,2.852901324,-1.518170548,0.76030314
31,0.079960003,0.068640001,0.060400002,0.066320002,0.127639994,0.00096,0.145860001,0.103260003,Soybeans,0.016449794,0.17370731,-0.604992817,0.316492409
