X,V1,V2,V3,V4,V5,V6,V7,V8,Crop
1,0.074000001,0.061560001,0.049690001,0.047830001,0.10602,0.00086,0.1118,0.073210001,Corn
2,0.083300002,0.073859997,0.066140004,0.074359998,0.111579999,0.00086,0.145219997,0.111400001,Winter Wheat
3,0.074159998,0.061840001,0.049810002,0.049149999,0.101779997,0.00084,0.11262,0.075090002,Corn
6,0.079499997,0.069179997,0.060600001,0.068400003,0.12252,0.00092,0.170660004,0.105339997,Winter Wheat
9,0.079779997,0.069880001,0.061620001,0.070639998,0.122579999,0.0009,0.175459996,0.108819999,Winter Wheat
10,0.072439998,0.057580002,0.048729999,0.03127,0.186159998,0.00093,0.127450004,0.06366,Winter Wheat
14,0.076439999,0.063320003,0.058880001,0.043699998,0.208399996,0.00084,0.124920003,0.069940001,Corn
16,0.080779999,0.069279999,0.060199998,0.064379998,0.107620001,0.00086,0.127440006,0.095820002,Winter Wheat
17,0.079599999,0.069449998,0.061889999,0.070329998,0.125310004,0.00097,0.170510001,0.106339999,Winter Wheat
19,0.073859997,0.058880001,0.05556,0.030680001,0.321740001,0.00098,0.12726,0.0539,Winter Wheat
20,0.071879998,0.057440002,0.049180001,0.033539999,0.228019997,0.00076,0.09324,0.044059999,Corn
22,0.075139999,0.063480001,0.053059999,0.05266,0.117970001,0.00088,0.124229997,0.082169998,Corn
24,0.07299,0.05934,0.05343,0.037050001,0.245020002,0.00084,0.105609998,0.0481,Corn
26,0.072779998,0.059160002,0.052839998,0.035980001,0.246940002,0.00072,0.103519998,0.046360001,Corn
27,0.078959998,0.0678,0.061509999,0.060999999,0.141550004,0.00104,0.141460001,0.091540001,Corn
29,0.071160004,0.056769999,0.049550001,0.03225,0.21847,0.00076,0.089079998,0.0395,Corn
30,0.076049998,0.064489998,0.060420001,0.066860002,0.147199996,0.00088,0.12844,0.08388,Corn
31,0.073080003,0.059659999,0.053040002,0.039919998,0.204500005,0.00082,0.105180003,0.05218,Corn
